
Task: 1, Test Name: Validate Home Menu, DOM ID: LI__submenu__22, Browser: CHROME, Viewport: 1200X700, Device: LAPTOP, Status:Pass
Task: 1, Test Name: Validate Home Menu, DOM ID: LI__submenu__22, Browser: CHROME, Viewport: 500X700, Device: MOBILE, Status:Pass
Task: 1, Test Name: Validate Home Menu, DOM ID: LI__submenu__22, Browser: FIREFOX, Viewport: 1200X700, Device: LAPTOP, Status:Pass
Task: 1, Test Name: Validate Home Menu, DOM ID: LI__submenu__22, Browser: CHROME, Viewport: 768X700, Device: LAPTOP, Status:Pass
Task: 1, Test Name: Validate Home Menu, DOM ID: LI__submenu__22, Browser: EDGE_CHROMIUM, Viewport: 1200X700, Device: LAPTOP, Status:Pass
Task: 1, Test Name: Validate Home Menu, DOM ID: LI__submenu__22, Browser: EDGE_CHROMIUM, Viewport: 768X700, Device: LAPTOP, Status:Pass
Task: 1, Test Name: Validate Home Menu, DOM ID: LI__submenu__22, Browser: FIREFOX, Viewport: 768X700, Device: LAPTOP, Status:Pass
Task: 1, Test Name: Validate List View Button, DOM ID: I__tiviewlist__205, Browser: CHROME, Viewport: 1200X700, Device: LAPTOP, Status:Pass
Task: 1, Test Name: Validate List View Button, DOM ID: I__tiviewlist__205, Browser: CHROME, Viewport: 500X700, Device: MOBILE, Status:Fail
Task: 1, Test Name: Validate List View Button, DOM ID: I__tiviewlist__205, Browser: FIREFOX, Viewport: 1200X700, Device: LAPTOP, Status:Pass
Task: 1, Test Name: Validate List View Button, DOM ID: I__tiviewlist__205, Browser: CHROME, Viewport: 768X700, Device: LAPTOP, Status:Fail
Task: 1, Test Name: Validate List View Button, DOM ID: I__tiviewlist__205, Browser: EDGE_CHROMIUM, Viewport: 1200X700, Device: LAPTOP, Status:Pass
Task: 1, Test Name: Validate List View Button, DOM ID: I__tiviewlist__205, Browser: EDGE_CHROMIUM, Viewport: 768X700, Device: LAPTOP, Status:Fail
Task: 1, Test Name: Validate List View Button, DOM ID: I__tiviewlist__205, Browser: FIREFOX, Viewport: 768X700, Device: LAPTOP, Status:Fail
Task: 1, Test Name: Validate Main Menu, DOM ID: DIV__mainmenu__15, Browser: CHROME, Viewport: 1200X700, Device: LAPTOP, Status:Pass
Task: 1, Test Name: Validate Main Menu, DOM ID: DIV__mainmenu__15, Browser: CHROME, Viewport: 500X700, Device: MOBILE, Status:Pass
Task: 1, Test Name: Validate Main Menu, DOM ID: DIV__mainmenu__15, Browser: FIREFOX, Viewport: 1200X700, Device: LAPTOP, Status:Pass
Task: 1, Test Name: Validate Main Menu, DOM ID: DIV__mainmenu__15, Browser: CHROME, Viewport: 768X700, Device: LAPTOP, Status:Pass
Task: 1, Test Name: Validate Main Menu, DOM ID: DIV__mainmenu__15, Browser: EDGE_CHROMIUM, Viewport: 1200X700, Device: LAPTOP, Status:Pass
Task: 1, Test Name: Validate Main Menu, DOM ID: DIV__mainmenu__15, Browser: EDGE_CHROMIUM, Viewport: 768X700, Device: LAPTOP, Status:Pass
Task: 1, Test Name: Validate Main Menu, DOM ID: DIV__mainmenu__15, Browser: FIREFOX, Viewport: 768X700, Device: LAPTOP, Status:Pass
Task: 1, Test Name: Validate Men Menu, DOM ID: LI__megamenusu__24, Browser: CHROME, Viewport: 1200X700, Device: LAPTOP, Status:Pass
Task: 1, Test Name: Validate Men Menu, DOM ID: LI__megamenusu__24, Browser: CHROME, Viewport: 500X700, Device: MOBILE, Status:Pass
Task: 1, Test Name: Validate Men Menu, DOM ID: LI__megamenusu__24, Browser: FIREFOX, Viewport: 1200X700, Device: LAPTOP, Status:Pass
Task: 1, Test Name: Validate Men Menu, DOM ID: LI__megamenusu__24, Browser: CHROME, Viewport: 768X700, Device: LAPTOP, Status:Pass
Task: 1, Test Name: Validate Men Menu, DOM ID: LI__megamenusu__24, Browser: EDGE_CHROMIUM, Viewport: 1200X700, Device: LAPTOP, Status:Pass
Task: 1, Test Name: Validate Men Menu, DOM ID: LI__megamenusu__24, Browser: EDGE_CHROMIUM, Viewport: 768X700, Device: LAPTOP, Status:Pass
Task: 1, Test Name: Validate Men Menu, DOM ID: LI__megamenusu__24, Browser: FIREFOX, Viewport: 768X700, Device: LAPTOP, Status:Pass
Task: 1, Test Name: Validate Open Filter Button:, DOM ID: A__openfilter__207, Browser: CHROME, Viewport: 1200X700, Device: LAPTOP, Status:Fail
Task: 1, Test Name: Validate Open Filter Button:, DOM ID: A__openfilter__207, Browser: CHROME, Viewport: 500X700, Device: MOBILE, Status:Pass
Task: 1, Test Name: Validate Open Filter Button:, DOM ID: A__openfilter__207, Browser: FIREFOX, Viewport: 1200X700, Device: LAPTOP, Status:Fail
Task: 1, Test Name: Validate Open Filter Button:, DOM ID: A__openfilter__207, Browser: CHROME, Viewport: 768X700, Device: LAPTOP, Status:Fail
Task: 1, Test Name: Validate Open Filter Button:, DOM ID: A__openfilter__207, Browser: EDGE_CHROMIUM, Viewport: 1200X700, Device: LAPTOP, Status:Fail
Task: 1, Test Name: Validate Open Filter Button:, DOM ID: A__openfilter__207, Browser: EDGE_CHROMIUM, Viewport: 768X700, Device: LAPTOP, Status:Fail
Task: 1, Test Name: Validate Open Filter Button:, DOM ID: A__openfilter__207, Browser: FIREFOX, Viewport: 768X700, Device: LAPTOP, Status:Fail
